,0,1,2,3,4,5,6,Class
0,0.4384765625,0.4928513169288635,0.005859375,0.00449346425011754,2,10,,speed limit 60 (mandatory)
1,0.440185546875,0.4924428164958954,0.00537109375,0.005310457665473223,2,11,,no waiting (mandatory)
2,0.441162109375,0.4924428164958954,0.00537109375,0.005310457665473223,2,12,,no stopping (mandatory)
3,0.446044921875,0.491830050945282,0.00634765625,0.005718954373151064,2,14,,give priority (mandatory)
4,0.44970703125,0.4916258156299591,0.0068359375,0.006127451080828905,2,15,,no waiting (mandatory)
5,0.496337890625,0.4869281053543091,0.01318359375,0.013071895577013493,7,20,,speed limit 60 (mandatory)
6,0.5205078125,0.4852941036224365,0.0146484375,0.016339870169758797,7,21,,no pedestrian (mandatory)
7,0.710693359375,0.7928921580314636,0.01513671875,0.013071895577013493,8,23,,no pedestrian (mandatory)
8,0.71044921875,0.7930964231491089,0.0146484375,0.012663398869335651,10,23,,no bike (mandatory)
9,0.537109375,0.5424836874008179,0.0048828125,0.003267973894253373,13,148,,no pedestrian (mandatory)
10,0.74267578125,0.7083333134651184,0.0107421875,0.00898692850023508,8,149,,no entry (mandatory)
11,0.41845703125,0.49468955397605896,0.00390625,0.003267973894253373,12,169,,speed limit 30 (mandatory)
12,0.525634765625,0.4928513169288635,0.01611328125,0.014297385700047016,2,198,,speed limit 10 (mandatory)
13,0.560546875,0.49264705181121826,0.0205078125,0.01797385700047016,2,199,,speed limit 30 (mandatory)
14,0.62060546875,0.49264705181121826,0.0283203125,0.02450980432331562,2,200,,zebra crossing (indication)
15,0.557861328125,0.4883578419685364,0.01220703125,0.010212418623268604,44,241,,traffic priority (indication)
16,0.5517578125,0.48631536960601807,0.0126953125,0.011846405453979969,44,242,,dead end (indication)
17,0.56298828125,0.4834558963775635,0.0146484375,0.014297385700047016,44,243,,dead end (indication)
18,0.598876953125,0.48100489377975464,0.01611328125,0.019199347123503685,44,244,,speed limit 60 (mandatory)
19,0.4775390625,0.5073529481887817,0.005859375,0.005718954373151064,13,276,,no entry (mandatory)
20,0.529052734375,0.5898692607879639,0.00927734375,0.007352941203862429,12,380,,no bike (mandatory)
21,0.59716796875,0.5044934749603271,0.0048828125,0.004084967542439699,2,404,,speed limit 70 (mandatory)
22,0.66064453125,0.5055146813392639,0.0068359375,0.005310457665473223,2,405,,no entry (mandatory)
23,0.481689453125,0.48917484283447266,0.00341796875,0.002859477186575532,12,430,,no entry (mandatory)
24,0.428955078125,0.4936682879924774,0.00341796875,0.00449346425011754,17,508,,no entry (mandatory)
25,0.436279296875,0.49325981736183167,0.00341796875,0.00449346425011754,17,509,,no entry (mandatory)
26,0.4443359375,0.4936682879924774,0.00390625,0.005310457665473223,17,510,,give way (warning)
27,0.609375,0.4840686321258545,0.005859375,0.0049019609577953815,13,511,,no entry (mandatory)
28,0.4541015625,0.4938725531101227,0.0048828125,0.006535947788506746,17,511,,zebra crossing (indication)
29,0.655029296875,0.48488563299179077,0.00830078125,0.005718954373151064,13,512,,no entry (mandatory)
30,0.467041015625,0.49325981736183167,0.00537109375,0.00776143791154027,17,512,,no entry (mandatory)
31,0.482421875,0.49325981736183167,0.005859375,0.00857843179255724,17,513,,no entry (mandatory)
32,0.501708984375,0.49264705181121826,0.00732421875,0.00898692850023508,17,514,,no entry (mandatory)
33,0.526611328125,0.49264705181121826,0.00927734375,0.011437908746302128,17,515,,no entry (mandatory)
34,0.563232421875,0.4928513169288635,0.01220703125,0.013480392284691334,17,516,,no entry (mandatory)
35,0.617431640625,0.4928513169288635,0.01806640625,0.016748366877436638,17,517,,stop (mandatory)
36,0.3935546875,0.49060457944869995,0.0068359375,0.005718954373151064,14,518,,no entry (mandatory)
37,0.708984375,0.49346405267715454,0.03125,0.023692810907959938,17,518,,no bike (mandatory)
38,0.51025390625,0.49611929059028625,0.0078125,0.011846405453979969,17,520,,stop (mandatory)
39,0.429931640625,0.48978757858276367,0.00927734375,0.008169935084879398,14,521,,no bike (mandatory)
40,0.544677734375,0.49632352590560913,0.01123046875,0.014705882407724857,17,521,,no bike (mandatory)
41,0.5947265625,0.49611929059028625,0.0166015625,0.018382353708148003,17,522,,stop (mandatory)
42,0.443115234375,0.48917484283447266,0.00927734375,0.00776143791154027,14,522,,stop (mandatory)
43,0.458251953125,0.4883578419685364,0.01123046875,0.00857843179255724,14,523,,no entry (mandatory)
44,0.683349609375,0.49693626165390015,0.03271484375,0.02736928127706051,17,523,,stop (mandatory)
45,0.4755859375,0.48774510622024536,0.01171875,0.010620915330946445,14,524,,stop (mandatory)
46,0.497314453125,0.48774510622024536,0.01416015625,0.01225490216165781,14,525,,stop (mandatory)
47,0.52392578125,0.48570260405540466,0.017578125,0.01552287582308054,14,526,,stop (mandatory)
48,0.557861328125,0.48386436700820923,0.02197265625,0.019199347123503685,14,527,,stop (mandatory)
49,0.60302734375,0.4799836575984955,0.0283203125,0.026960784569382668,14,528,,stop (mandatory)
50,0.68701171875,0.47263070940971375,0.0380859375,0.036764707416296005,14,529,,no entry (mandatory)
51,0.638427734375,0.49489378929138184,0.00341796875,0.005310457665473223,13,531,, no vehicles (mandatory)
52,0.62646484375,0.495915025472641,0.005859375,0.006535947788506746,13,532,,give way (warning)
53,0.611083984375,0.49550652503967285,0.00732421875,0.008169935084879398,13,533,,pedal cycles (mandatory)
54,0.48095703125,0.49325981736183167,0.0048828125,0.00449346425011754,38,534,,give way (warning)
55,0.59228515625,0.495915025472641,0.0078125,0.009803921915590763,13,534,,pedal cycles (mandatory)
